¬nombre¬1¬2¬rating¬reviews¬price¬ciudad¬comida¬zona¬fecha¬hora¬clave
97¬MASSART PIZZA - MONCLOA¬4,3(1.651) · €¬Pizza · C. de Isaac Peral, 2¬4,3¬1.651¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬MASSART PIZZA - MONCLOA MASSART PIZZA - MONCLOA 22-08-2022
98¬Las Reses¬4,6(443) · €€€¬Española · C. de Orfila, 3¬4,6¬443¬  €€€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Las Reses Las Reses 22-08-2022
99¬Bululú Bar and Coffee¬4,6(553) · €¬Hamburguesa · C. de Sta. Cruz de Marcenado, 13¬4,6¬553¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Bululú Bar and Coffee Bululú Bar and Coffee 22-08-2022
100¬Goiko¬4,2(2.527) · €€¬Hamburguesa · Calle de Sta Engracia, 157¬4,2¬2.527¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Goiko Goiko 22-08-2022
101¬Maracca¬3,8(847) · €€¬Restaurante · Calle de Sta Engracia, 112¬3,8¬847¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Maracca Maracca 22-08-2022
102¬Burger Jazz¬4,7(37)¬Comida a domicilio · Calle de Modesto Lafuente, 64¬4,7¬37¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Burger Jazz Burger Jazz 22-08-2022
103¬Cervecería Sierra¬4,3(1.690) · €¬Bar de tapas · C. de Galileo, 41¬4,3¬1.690¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Cervecería Sierra Cervecería Sierra 22-08-2022
104¬Cervecería Riaño¬3,5(1.035) · €€¬Cervecería · C. de Cea Bermúdez, 49¬3,5¬1.035¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Cervecería Riaño Cervecería Riaño 22-08-2022
105¬Convexo¬4,7(305)¬Hamburguesa · C. de Hilarión Eslava, 42¬4,7¬305¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Convexo Convexo 22-08-2022
106¬Catedral de Zamora¬4,4(236) · €€¬Cocina asturiana · Calle de Sta Engracia, 22¬4,4¬236¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Catedral de Zamora Catedral de Zamora 22-08-2022
